UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTIM_POB,IDH_2019,%POBREZA,%POBREZAEXT,TASA_NOLEER,TASA_INDIGENA,TASA_NOAFILSALUD,TASA_MAS80,UNA_DOSIS,DOS_DOSIS,TRES_DOSIS
051012,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,2790,0.264738295334461,0.58111649,0.4705287,0.206362494767685,0.660527417329427,0.0313938886563416,0.0491039426523298,1577,1216,60
051101,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,8733,0.329249042890353,0.46946494,0.2578297,0.22182103610675,0.745211930926217,0.0502354788069074,0.0318332760792397,6410,5664,1044
051102,AYACUCHO,VILCAS HUAMAN,ACCOMARCA,1026,0.237240290744107,0.41373965,0.4316797,0.257336343115124,0.799097065462754,0.0598194130925508,0.0925925925925926,491,293,68
051103,AYACUCHO,VILCAS HUAMAN,CARHUANCA,1056,0.328352946802896,0.47288156,0.2852883,0.224664224664225,0.776556776556777,0.0903540903540904,0.0795454545454545,386,344,146
051104,AYACUCHO,VILCAS HUAMAN,CONCEPCION,3234,0.208998192793009,0.55226955,0.3598515,0.243500317057705,0.767913760304375,0.067850348763475,0.0340136054421769,991,829,151
051105,AYACUCHO,VILCAS HUAMAN,HUAMBALPA,2262,0.326261592279862,0.27591488,0.2564112,0.258955223880597,0.835074626865672,0.0604477611940299,0.0570291777188329,560,374,11
051106,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,1661,0.255014653601382,0.40654191,0.3099414,0.22262443438914,0.817194570135747,0.0615384615384615,0.0644190246839254,633,528,67
051107,AYACUCHO,VILCAS HUAMAN,SAURAMA,1348,0.231102406424896,0.57615286,0.3157771,0.225433526011561,0.754335260115607,0.0664739884393064,0.0630563798219585,778,639,221
051108,AYACUCHO,VILCAS HUAMAN,VISCHONGO,4902,0.342130312903723,0.39958274,0.2891333,0.214170692431562,0.701556629092861,0.0517981749865808,0.0348837209302326,1979,1563,303
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,248760,0.607017527674158,0.1974874,0.04944411,0.116507650600482,0.0950713400779918,0.283156792736615,0.0136034732272069,171792,154042,38260
060102,CAJAMARCA,CAJAMARCA,ASUNCION,13481,0.234301628820936,0.5825357,0.4622379,0.230255699710291,0.00289709031364152,0.100012596044842,0.0267784288999332,3509,3108,84
060103,CAJAMARCA,CAJAMARCA,CHETILLA,4329,0.116449282558357,0.74378962,0.706261,0.31448087431694,0.272131147540984,0.0401639344262295,0.021021021021021,1548,1064,21
060104,CAJAMARCA,CAJAMARCA,COSPAN,7955,0.191374119008747,0.73630185,0.5161699,0.180917159763314,0.00162721893491124,0.105621301775148,0.0262727844123193,3227,2718,309
060105,CAJAMARCA,CAJAMARCA,ENCAÑADA,24405,0.27878324464494,0.74909599,0.4269971,0.246466753585398,0.106284224250326,0.103780964797914,0.0198729768490064,10550,8953,334
060106,CAJAMARCA,CAJAMARCA,JESUS,14832,0.312241647270176,0.70501191,0.4352251,0.180226364846871,0.134620505992011,0.0897470039946738,0.0285194174757282,10146,7631,912
060107,CAJAMARCA,CAJAMARCA,LLACANORA,5408,0.365886782067611,0.63634096,0.2531559,0.169710941656322,0.0133002305373293,0.160489448483774,0.0220044378698225,4670,2579,179
060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,43134,0.487318279535978,0.36669142,0.1676536,0.173048170057856,0.093176450193937,0.246614227827255,0.0146056475170399,63687,60574,14423
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,9733,0.349913112293345,0.54524421,0.2722916,0.191028896143151,0.12803772216177,0.117156329343489,0.025172094934758,4375,3543,650
060110,CAJAMARCA,CAJAMARCA,MATARA,3596,0.341250433095462,0.50188485,0.3511569,0.18103199769386,0.061689247621793,0.129432113000865,0.0458843159065629,2803,2186,308
060111,CAJAMARCA,CAJAMARCA,NAMORA,10730,0.272322187843734,0.6778289,0.3594716,0.223589079529513,0.127549368727744,0.0916154095176433,0.0210624417520969,6418,5168,437
060112,CAJAMARCA,CAJAMARCA,SAN JUAN,5239,0.287176345871291,0.5457969,0.6041476,0.205618236242229,0.128022104536035,0.0877273773889017,0.0274861614811987,2489,2001,230
060201,CAJAMARCA,CAJABAMBA,CAJABAMBA,30877,0.438436187535285,0.28787015,0.3649493,0.153353404650567,0.0369290884632631,0.171737877137916,0.0287916572205849,30617,28075,7740
060202,CAJAMARCA,CAJABAMBA,CACHACHI,27031,0.294835053701491,0.76856871,0.5401931,0.215397041319503,0.0489712633905798,0.172334636966502,0.0180163515963153,15214,12357,1579
060203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,14076,0.251798091358891,0.55504548,0.3243587,0.239743398478293,0.016634342831568,0.109577800984634,0.0224495595339585,9487,8642,1176
060204,CAJAMARCA,CAJABAMBA,SITACOCHA,8986,0.257407821092545,0.72224726,0.474208,0.220703384207034,0.0270736562707366,0.0670205706702057,0.0231471177387047,5052,4195,942
060301,CAJAMARCA,CELENDIN,CELENDIN,28280,0.462642647582047,0.35147289,0.2391799,0.146852367688022,0.0579015784586815,0.208282265552461,0.0275813295615276,26030,23479,5746
060302,CAJAMARCA,CELENDIN,CHUMUCH,3221,0.137595947784613,0.65131207,0.5787238,0.208076923076923,0.00269230769230769,0.0576923076923077,0.0257683949084135,1649,1323,114
060303,CAJAMARCA,CELENDIN,CORTEGANA,8895,0.190297318692092,0.72264025,0.5045723,0.249184702045657,0.0186777349540468,0.0391343018084791,0.0179876335019674,3953,3316,78
060304,CAJAMARCA,CELENDIN,HUASMIN,13728,0.196968014064723,0.76131443,0.5315882,0.246692314910388,0.0170779769165807,0.0643708360701886,0.0215617715617716,6195,4940,252
060305,CAJAMARCA,CELENDIN,JORGE CHAVEZ,601,0.372644690434531,0.48892668,0.2393738,0.124716553287982,0.0226757369614512,0.0997732426303855,0.0615640599001664,250,236,97
060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,2566,0.409922596239172,0.47788223,0.1689658,0.165363565285379,0.0570758405003909,0.130570758405004,0.0494933749025721,1560,1407,364
