Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2021;JUNIN;PERENE;CHANCHAMAYO;SELVA;16;9;2021;1;Polygon;;1
2021;AYACUCHO;PACAYCASA;HUAMANGA;SIERRA;16;9;2021;1;Polygon;1;
2021;AYACUCHO;SAN JOSE DE TICLLAS;HUAMANGA;SIERRA;16;14;2021;1;Polygon;1;
2019;JUNIN;HUANCAYO;HUANCAYO;SIERRA;16;9;2021;1;Polygon;1;
2018;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;8;2021;1;Polygon;1;
2018;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;40;2021;1;Polygon;;1
2018;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;40;2021;1;Polygon;1;
2018;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;29;2021;1;Polygon;1;
2018;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;13;2021;1;Polygon;1;
2017;CUSCO;KIMBIRI;LA CONVENCION;SELVA;16;6;2021;1;Polygon;;1
2017;AYACUCHO;JESUS NAZARENO;HUAMANGA;SIERRA;16;46;2021;1;Polygon;;1
2017;AYACUCHO;TAMBILLO;HUAMANGA;SIERRA;16;37;2021;1;Polygon;1;
2017;AYACUCHO;HUANTA;HUANTA;SIERRA;16;37;2021;1;Polygon;1;
2017;AYACUCHO;AYACUCHO;HUAMANGA;SIERRA;16;36;2021;1;Polygon;1;
