Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2018;ANCASH;MIRGAS;ANTONIO RAYMONDI;SIERRA;16;44;2021;1;Polygon;1;
2013;ANCASH;CHIQUIAN;BOLOGNESI;SIERRA;16;39;2021;1;Polygon;1;
2018;ANCASH;CARHUAZ;CARHUAZ;SIERRA;16;51;2021;1;Polygon;1;
2016;ANCASH;CARHUAZ;CARHUAZ;SIERRA;16;14;2021;1;Polygon;;1
2016;ANCASH;SAN LUIS;CARLOS FERMIN FITZCARRALD;SIERRA;16;39;2021;1;Polygon;1;
2017;ANCASH;SAN NICOLAS;CARLOS FERMIN FITZCARRALD;SIERRA;16;11;2021;1;Polygon;1;
2012;ANCASH;SAN NICOLAS;CARLOS FERMIN FITZCARRALD;SIERRA;16;40;2021;1;Polygon;1;
2012;ANCASH;YAUYA;CARLOS FERMIN FITZCARRALD;SIERRA;16;52;2021;1;Polygon;;1
2014;ANCASH;CASMA;CASMA;COSTA;16;20;2021;1;Polygon;;1
2019;ANCASH;YAUTAN;CASMA;COSTA;16;50;2021;1;Polygon;1;
2013;ANCASH;MIRGAS;ANTONIO RAYMONDI;SIERRA;16;52;2021;1;Polygon;;1
2016;ANCASH;CHAVIN DE HUANTAR;HUARI;SIERRA;16;37;2021;1;Polygon;1;
2016;ANCASH;HUANTAR;HUARI;SIERRA;16;27;2021;1;Polygon;1;
2014;ANCASH;HUANTAR;HUARI;SIERRA;16;40;2021;1;Polygon;;1
2012;ANCASH;PONTO;HUARI;SIERRA;16;30;2021;1;Polygon;1;
2019;ANCASH;SAN PEDRO DE CHANA;HUARI;SIERRA;16;2;2021;1;Polygon;;1
2013;ANCASH;SAN MARCOS;HUARI;SIERRA;16;40;2021;1;Polygon;;1
2013;ANCASH;HUARMEY;HUARMEY;COSTA;16;13;2021;1;Polygon;;1
2016;ANCASH;HUARMEY;HUARMEY;COSTA;16;1;2021;1;Polygon;;1
2021;ANCASH;YUNGAY;YUNGAY;SIERRA;16;9;2021;1;Polygon;1;
2012;ANCASH;CARAZ;HUAYLAS;SIERRA;16;48;2021;1;Polygon;1;
2012;ANCASH;HUATA;HUAYLAS;SIERRA;16;36;2021;1;Polygon;1;
2019;ANCASH;PAMPAROMAS;HUAYLAS;SIERRA;16;41;2021;1;Polygon;1;
2019;ANCASH;PAMPAROMAS;HUAYLAS;SIERRA;16;7;2021;1;Polygon;1;
2019;ANCASH;PUEBLO LIBRE;HUAYLAS;SIERRA;16;6;2021;1;Polygon;1;
2012;ANCASH;LLUMPA;MARISCAL LUZURIAGA;SIERRA;16;43;2021;1;Polygon;1;
2012;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;11;2021;1;Polygon;1;
2018;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;9;2021;1;Polygon;1;
2016;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;3;2021;1;Polygon;1;
2017;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;14;2021;1;Polygon;1;
2013;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;48;2021;1;Polygon;;1
2014;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;22;2021;1;Polygon;1;
